"","dyad.merge","conttype"
"912","040041_1991",4
"913","040041_1992",4
"914","040041_1993",4
"915","040041_1994",4
"916","040041_1995",4
"917","040041_1996",4
"918","040041_1997",4
"919","040041_1998",4
"920","040041_1999",4
"921","040041_2000",4
"922","040041_2001",4
"923","040041_2002",4
"924","040041_2003",4
"925","040041_2004",4
"926","040041_2005",4
"927","040041_2006",4
"928","040042_1902",5
"929","040042_1903",5
"930","040042_1904",5
"931","040042_1905",5
"932","040042_1906",5
"933","040042_1909",5
"934","040042_1910",5
"935","040042_1911",5
"936","040042_1912",5
"937","040042_1913",5
"938","040042_1914",5
"939","040042_1915",5
"940","040042_1916",5
"941","040042_1924",5
"942","040042_1925",5
"943","040042_1926",5
"944","040042_1927",5
"945","040042_1928",5
"946","040042_1929",5
"947","040042_1930",5
"948","040042_1931",5
"949","040042_1932",5
"950","040042_1933",5
"951","040042_1934",5
"952","040042_1935",5
"953","040042_1936",5
"954","040042_1937",5
"955","040042_1938",5
"956","040042_1939",5
"957","040042_1940",5
"958","040042_1941",5
"959","040042_1942",5
"960","040042_1943",5
"961","040042_1944",5
"962","040042_1945",5
"963","040042_1946",5
"964","040042_1947",5
"965","040042_1948",5
"966","040042_1949",5
"967","040042_1950",5
"968","040042_1951",5
"969","040042_1952",5
"970","040042_1953",5
"971","040042_1954",5
"972","040042_1955",5
"973","040042_1956",5
"974","040042_1957",5
"975","040042_1958",5
"976","040042_1959",5
"977","040042_1960",5
"978","040042_1961",5
"979","040042_1962",5
"980","040042_1963",5
"981","040042_1964",5
"982","040042_1965",5
"983","040042_1966",5
"984","040042_1967",5
"985","040042_1968",5
"986","040042_1969",5
"987","040042_1970",5
"988","040042_1971",5
"989","040042_1972",5
"990","040042_1973",5
"991","040042_1974",5
"992","040042_1975",5
"993","040042_1976",5
"994","040042_1977",5
"995","040042_1978",5
"996","040042_1979",5
"997","040042_1980",5
"998","040042_1981",5
"999","040042_1982",5
"1000","040042_1983",5
"1001","040042_1984",5
"1002","040042_1985",5
"1003","040042_1986",5
"1004","040042_1987",5
"1005","040042_1988",5
"1006","040042_1989",5
"1007","040042_1990",5
"1008","040042_1991",5
"1009","040042_1992",5
"1010","040042_1993",5
"1011","040042_1994",5
"1012","040042_1995",5
"1013","040042_1996",5
"1014","040042_1997",5
"1015","040042_1998",5
"1016","040042_1999",5
"1017","040042_2000",5
"1018","040042_2001",5
"1019","040042_2002",5
"1020","040042_2003",5
"1021","040042_2004",5
"1022","040042_2005",5
"1023","040042_2006",5
"1024","040051_1962",4
"1025","040051_1963",4
"1026","040051_1964",4
"1027","040051_1965",4
"1028","040051_1966",4
"1029","040051_1967",4
"1030","040051_1968",4
"1031","040051_1969",4
