dispnum3,dispnum4,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,link1,link2,link3,ongo2010,version
4424,20501,22,3,2005,29,9,2006,5,3,0,0,556,556,15,4,1,1,1,20402,20312,20311,0,gml-2.0
4425,20502,23,3,2005,23,3,2005,5,3,0,0,0,0,12,3,1,1,1,0,0,0,0,gml-2.0
4426,20503,23,3,2005,6,6,2005,5,3,0,0,75,75,16,4,1,1,1,0,0,0,0,gml-2.0
4427,20504,13,5,2005,2,11,2005,5,3,0,0,173,173,11,3,0,1,1,0,0,0,0,gml-2.0
4428,20505,23,5,2005,23,5,2005,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4429,20506,24,10,2005,27,10,2005,8,4,0,0,3,3,15,4,0,1,1,0,0,0,0,gml-2.0
4430,20507,14,12,2005,14,12,2005,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4431,20601,23,5,2006,16,10,2006,5,3,0,0,146,146,7,3,1,1,1,20403,20210,4193,0,gml-2.0
4432,20602,30,6,2006,26,9,2006,5,3,0,0,88,88,16,4,0,1,1,0,0,0,0,gml-2.0
4433,20603,26,9,2006,7,12,2006,5,3,1,1,72,72,16,4,1,1,1,0,0,0,0,gml-2.0
4434,20604,11,10,2006,11,10,2006,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4435,20701,12,5,2007,24,7,2007,5,3,0,0,73,73,7,3,1,1,1,20601,20404,20210,0,gml-2.0
4436,20702,6,8,2007,24,9,2010,5,3,3,-9,1145,1145,17,4,1,1,1,20501,20405,20312,1,gml-2.0
4437,20703,27,12,2007,16,2,2008,5,3,0,0,51,51,7,3,0,1,1,0,0,0,0,gml-2.0
4438,20801,15,4,2008,15,4,2008,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4439,20802,17,4,2008,17,4,2008,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4440,20803,14,7,2008,14,7,2008,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4441,20901,9,4,2009,9,4,2009,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4442,21001,17,1,2010,12,6,2010,5,3,0,0,146,146,17,4,1,1,1,0,0,0,0,gml-2.0
4443,21002,8,6,2010,8,6,2010,5,3,0,0,0,0,7,3,0,1,1,20701,20602,20404,0,gml-2.0
4444,30202,15,4,2002,3,11,2002,5,3,0,0,202,202,7,3,0,1,1,0,0,0,0,gml-2.0
4445,30203,8,5,2002,8,5,2002,5,3,0,0,0,0,12,3,0,1,1,0,0,0,0,gml-2.0
4446,30204,8,6,2002,13,6,2002,5,3,0,0,5,5,7,3,0,1,1,0,0,0,0,gml-2.0
4447,30205,13,6,2002,13,6,2002,5,3,0,0,0,0,12,3,0,1,1,30203,0,0,0,gml-2.0
4448,30206,16,7,2002,19,7,2002,-9,-9,0,0,3,3,15,4,0,1,1,0,0,0,0,gml-2.0
4449,30207,4,9,2002,4,9,2002,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4450,30208,19,9,2002,19,9,2002,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
